GEOID,GEOCODE,STATE,CD116,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
5721600US550515720,550515720,55,5,,,15720,188335175,2789718,Waterloo School District,Waterloo School District (part),5418
5721600US550515750,550515750,55,5,,,15750,428545439,5594207,Watertown School District,Watertown School District,29827
5721600US550515780,550515780,55,5,,,15780,101420214,1313916,Waukesha School District,Waukesha School District (part),84546
5721600US550515990,550515990,55,5,,,15990,34258850,9422,Wauwatosa School District,Wauwatosa School District,48387
5721600US550516260,550516260,55,5,,,16260,32954400,61582,West Allis School District,West Allis School District (part),63878
5721600US550516290,550516290,55,5,,,16290,256622764,4098049,West Bend School District,West Bend School District,52250
5721600US550516680,550516680,55,5,,,16680,79142510,906376,Whitewater School District,Whitewater School District (part),15693
5721600US550599999,550599999,55,5,,,99999,623674044,20080136,5,Remainder of Congressional District 5,67731
5721600US550600240,550600240,55,6,,,240,8571601,37547,Almond-Bancroft School District,Almond-Bancroft School District (part),42
5721600US550600390,550600390,55,6,,,390,68526,11673,Appleton Area School District,Appleton Area School District (part),9
5721600US550600810,550600810,55,6,,,810,2493930,164819,Baraboo School District,Baraboo School District (part),6
5721600US550600960,550600960,55,6,,,960,150413533,129512,Beaver Dam School District,Beaver Dam School District (part),20408
5721600US550601140,550601140,55,6,,,1140,513841584,20259158,Berlin Area School District,Berlin Area School District,10428
5721600US550601680,550601680,55,6,,,1680,38577920,1252699,Brillion School District,Brillion School District (part),513
5721600US550602070,550602070,55,6,,,2070,217180593,976119,Cambria-Friesland School District,Cambria-Friesland School District,2416
5721600US550602160,550602160,55,6,,,2160,458103336,8269900,Campbellsport School District,Campbellsport School District,10270
5721600US550602430,550602430,55,6,,,2430,99046928,405964,Cedar Grove-Belgium Area School District,Cedar Grove-Belgium Area School District,6085
5721600US550602460,550602460,55,6,,,2460,77126681,567063,Cedarburg School District,Cedarburg School District (part),20617
5721600US550602520,550602520,55,6,,,2520,2457536,16,Chilton School District,Chilton School District (part),8
5721600US550602820,550602820,55,6,,,2820,176576003,710952,Columbus School District,Columbus School District (part),6667
5721600US550603180,550603180,55,6,,,3180,59286252,717461,DeForest Area School District,DeForest Area School District (part),506
5721600US550603660,550603660,55,6,,,3660,90177636,480531,Denmark School District,Denmark School District (part),1680
5721600US550604260,550604260,55,6,,,4260,146136030,5118321,Elkhart Lake-Glenbeulah School District,Elkhart Lake-Glenbeulah School District,3722
5721600US550604530,550604530,55,6,,,4530,100152911,1591738,Fall River School District,Fall River School District (part),2823
5721600US550604680,550604680,55,6,,,4680,205788874,3626285,Fond du Lac School District,Fond du Lac School District,54632
5721600US550604890,550604890,55,6,,,4890,161184276,2036207,Northern Ozaukee School District,Northern Ozaukee School District,5637
5721600US550605610,550605610,55,6,,,5610,54819158,853927,Grafton School District,Grafton School District,14771
5721600US550605880,550605880,55,6,,,5880,80109768,2102331,Green Lake School District,Green Lake School District,2732
5721600US550606570,550606570,55,6,,,6570,74043711,3035484,Horicon School District,Horicon School District (part),4481
5721600US550606660,550606660,55,6,,,6660,133842632,717431,Howards Grove School District,Howards Grove School District,6000
5721600US550607380,550607380,55,6,,,7380,94560637,1596335,Kewaskum School District,Kewaskum School District (part),1957
5721600US550607410,550607410,55,6,,,7410,15503411,2035,Kewaunee School District,Kewaunee School District (part),153
5721600US550607440,550607440,55,6,,,7440,259078748,3093420,Kiel Area School District,Kiel Area School District (part),7834
5721600US550607500,550607500,55,6,,,7500,26394819,609687,Kohler School District,Kohler School District,2333
5721600US550608190,550608190,55,6,,,8190,142769022,17526540,Lodi School District,Lodi School District (part),7678
5721600US550608220,550608220,55,6,,,8220,140969440,360934,Lomira School District,Lomira School District (part),6369
5721600US550608610,550608610,55,6,,,8610,234051339,2530152,Manitowoc School District,Manitowoc School District,40187
5721600US550608760,550608760,55,6,,,8760,435966248,62511936,Markesan School District,Markesan School District,6497
5721600US550608880,550608880,55,6,,,8880,208590559,7235389,Mayville School District,Mayville School District (part),7352
5721600US550609030,550609030,55,6,,,9030,18829426,3037957,Menasha School District,Menasha School District (part),24227
5721600US550609130,550609130,55,6,,,9130,122786744,1853780,Mequon-Thiensville School District,Mequon-Thiensville School District,28536
5721600US550609750,550609750,55,6,,,9750,263203332,1718340,Mishicot School District,Mishicot School District,6137
5721600US550609870,550609870,55,6,,,9870,442001278,16078002,Montello School District,Montello School District,6580
5721600US550610320,550610320,55,6,,,10320,92127737,3836070,Neenah School District,Neenah School District (part),43314
5721600US550610530,550610530,55,6,,,10530,212857505,1512549,New Holstein School District,New Holstein School District (part),4178
5721600US550610590,550610590,55,6,,,10590,1752052,2961,New London School District,New London School District (part),26
5721600US550610740,550610740,55,6,,,10740,72727470,458304,North Fond du Lac School District,North Fond du Lac School District,8814
5721600US550610860,550610860,55,6,,,10860,161693711,951606,Oakfield School District,Oakfield School District,3239
5721600US550610980,550610980,55,6,,,10980,232142394,6881753,Omro School District,Omro School District (part),8023
5721600US550611070,550611070,55,6,,,11070,103116862,638695,Oostburg School District,Oostburg School District,6228
5721600US550611190,550611190,55,6,,,11190,256782069,2361748,Oshkosh Area School District,Oshkosh Area School District,80114
5721600US550611370,550611370,55,6,,,11370,230727836,7902744,Pardeeville Area School District,Pardeeville Area School District,6822
5721600US550611820,550611820,55,6,,,11820,329197270,2136145,Tri-County Area School District,Tri-County Area School District (part),3086
5721600US550611940,550611940,55,6,,,11940,320776859,2779374,Plymouth School District,Plymouth School District,17369
5721600US550612000,550612000,55,6,,,12000,78541819,261492,Port Washington-Saukville School District,Port Washington-Saukville School District,17769
5721600US550612060,550612060,55,6,,,12060,524316843,33190530,Portage Community School District,Portage Community School District,17353
5721600US550612120,550612120,55,6,,,12120,242062268,5558761,Poynette School District,Poynette School District (part),6775
5721600US550612300,550612300,55,6,,,12300,226421700,7370102,Princeton School District,Princeton School District,3182
5721600US550612420,550612420,55,6,,,12420,149616085,19141797,Randolph School District,Randolph School District (part),3227
5721600US550612450,550612450,55,6,,,12450,235117464,2072006,Random Lake School District,Random Lake School District (part),6036
5721600US550612690,550612690,55,6,,,12690,253495763,1801207,Reedsville School District,Reedsville School District (part),4122
5721600US550612990,550612990,55,6,,,12990,194415629,3640090,Rio Community School District,Rio Community School District,3015
5721600US550613020,550613020,55,6,,,13020,262014163,10081255,Ripon Area School District,Ripon Area School District,10778
5721600US550613100,550613100,55,6,,,13100,339145392,3090340,Rosendale-Brandon School District,Rosendale-Brandon School District,5475
5721600US550613410,550613410,55,6,,,13410,43041512,4940928,Sauk Prairie School District,Sauk Prairie School District (part),1462
5721600US550613650,550613650,55,6,,,13650,131321420,1067623,Sheboygan Area School District,Sheboygan Area School District,62772
5721600US550613680,550613680,55,6,,,13680,144942117,1416262,Sheboygan Falls School District,Sheboygan Falls School District,11924
5721600US550615120,550615120,55,6,,,15120,73538846,2135015,Two Rivers School District,Two Rivers School District,12462
5721600US550615210,550615210,55,6,,,15210,297655165,3914590,Valders Area School District,Valders Area School District,6817
5721600US550615840,550615840,55,6,,,15840,8175320,48914,Waupaca School District,Waupaca School District (part),45
5721600US550615870,550615870,55,6,,,15870,434813769,23442504,Waupun School District,Waupun School District,19112
5721600US550615960,550615960,55,6,,,15960,457225650,7935440,Wautoma Area School District,Wautoma Area School District,11209
5721600US550616440,550616440,55,6,,,16440,697362367,7315482,Westfield School District,Westfield School District (part),8785
5721600US550616500,550616500,55,6,,,16500,134788217,29594306,Weyauwega-Fremont School District,Weyauwega-Fremont School District (part),1814
5721600US550616710,550616710,55,6,,,16710,348079181,5914866,Wild Rose School District,Wild Rose School District (part),4880
5721600US550616830,550616830,55,6,,,16830,87200582,23734775,Winneconne Community School District,Winneconne Community School District (part),2027
5721600US550617040,550617040,55,6,,,17040,94622431,3315883,Wisconsin Dells School District,Wisconsin Dells School District (part),3535
5721600US550699997,550699997,55,6,,,99997,184626,6913706356,School District Not Defined,School District Not Defined (part),0
5721600US550699999,550699999,55,6,,,99999,14108339,452589,6,Remainder of Congressional District 6,1692
5721600US550700030,550700030,55,7,,,30,107516703,81812,Abbotsford School District,Abbotsford School District,3683
5721600US550700058,550700058,55,7,,,58,1823174818,85806914,Chequamegon School District,Chequamegon School District,6456
5721600US550700061,550700061,55,7,,,61,577500792,25811628,Chetek-Weyerhaeuser Area School District,Chetek-Weyerhaeuser Area School District (part),7913
5721600US550700210,550700210,55,7,,,210,279729233,642599,Alma Center School District,Alma Center School District (part),1413
5721600US550700300,550700300,55,7,,,300,398760194,21076512,Amery School District,Amery School District,9811
5721600US550700360,550700360,55,7,,,360,1287900713,8079652,Antigo School District,Antigo School District (part),15972
5721600US550700510,550700510,55,7,,,510,1054909012,12159714,Ashland School District,Ashland School District,13161
5721600US550700570,550700570,55,7,,,570,332221894,24545,Athens School District,Athens School District,3702
5721600US550700600,550700600,55,7,,,600,246284607,3739866,Auburndale School District,Auburndale School District (part),3338
5721600US550700720,550700720,55,7,,,720,300450895,760841,Baldwin-Woodville Area School District,Baldwin-Woodville Area School District,9485
5721600US550700750,550700750,55,7,,,750,351682689,30143121,Unity School District,Unity School District,7286
5721600US550700870,550700870,55,7,,,870,429436155,1156801,Barron Area School District,Barron Area School District (part),8421
5721600US550700900,550700900,55,7,,,900,420752201,789405,Bayfield School District,Bayfield School District,3351
5721600US550701170,550701170,55,7,,,1170,561452084,40548172,Birchwood School District,Birchwood School District,2340
5721600US550701260,550701260,55,7,,,1260,158870395,3961910,Black River Falls School District,Black River Falls School District (part),198
5721600US550701350,550701350,55,7,,,1350,408611100,5925602,Bloomer School District,Bloomer School District (part),7401
5721600US550701590,550701590,55,7,,,1590,2953228,0,Boyceville Community School District,Boyceville Community School District (part),22
5721600US550701830,550701830,55,7,,,1830,688352960,14550840,Bruce School District,Bruce School District,3575
5721600US550701920,550701920,55,7,,,1920,600156689,5003306,Butternut School District,Butternut School District,1151
5721600US550702040,550702040,55,7,,,2040,138946952,1147863,Cadott Community School District,Cadott Community School District (part),1113
5721600US550702130,550702130,55,7,,,2130,174775861,2915611,Cameron School District,Cameron School District,4941
5721600US550702550,550702550,55,7,,,2550,280687918,19093949,Chippewa Falls Area School District,Chippewa Falls Area School District (part),6458
5721600US550702580,550702580,55,7,,,2580,147567195,2238873,Clayton School District,Clayton School District,1802
5721600US550702610,550702610,55,7,,,2610,275182026,1134975,Clear Lake School District,Clear Lake School District (part),3418
5721600US550702730,550702730,55,7,,,2730,426539287,864487,Colby School District,Colby School District,7148
5721600US550702790,550702790,55,7,,,2790,13240490,0,Colfax School District,Colfax School District (part),57
5721600US550702880,550702880,55,7,,,2880,255438894,6506374,Cornell School District,Cornell School District,2824
5721600US550702910,550702910,55,7,,,2910,1325372187,56880211,Crandon School District,Crandon School District,5731
5721600US550703090,550703090,55,7,,,3090,465774483,21999842,Cumberland School District,Cumberland School District,6083
5721600US550703810,550703810,55,7,,,3810,1677597880,71114353,Drummond Area School District,Drummond Area School District,4231
5721600US550703860,550703860,55,7,,,3860,1064593728,163380420,Northland Pines School District,Northland Pines School District,12168
5721600US550704080,550704080,55,7,,,4080,211030204,35177,Edgar School District,Edgar School District,3621
5721600US550704170,550704170,55,7,,,4170,788196061,46866903,Elcho School District,Elcho School District,3224
5721600US550704650,550704650,55,7,,,4650,1264232456,24111637,Florence School District,Florence School District,4558
5721600US550704860,550704860,55,7,,,4860,380243523,11446883,Frederic School District,Frederic School District,3658
5721600US550705280,550705280,55,7,,,5280,838353113,13841742,Gilman School District,Gilman School District,3004
5721600US550705520,550705520,55,7,,,5520,238816532,859652,Glenwood City School District,Glenwood City School District (part),3373
5721600US550705580,550705580,55,7,,,5580,132032957,1615650,Goodman-Armstrong School District,Goodman-Armstrong School District (part),422
5721600US550705640,550705640,55,7,,,5640,191082474,653002,Granton Area School District,Granton Area School District,2084
5721600US550705670,550705670,55,7,,,5670,664159536,24342516,Grantsburg School District,Grantsburg School District,5156
5721600US550705970,550705970,55,7,,,5970,384527464,4424277,Greenwood School District,Greenwood School District,3341
5721600US550706060,550706060,55,7,,,6060,218875820,1345503,St. Croix Central School District,St. Croix Central School District,8364
5721600US550706270,550706270,55,7,,,6270,1387203184,199584572,Hayward Community School District,Hayward Community School District,14418
5721600US550706690,550706690,55,7,,,6690,170477345,14470694,Hudson School District,Hudson School District,32962
5721600US550706750,550706750,55,7,,,6750,1220731686,25420026,Hurley School District,Hurley School District,4196
5721600US550707590,550707590,55,7,,,7590,290006986,4014168,Ladysmith School District,Ladysmith School District,4963
5721600US550707680,550707680,55,7,,,7680,451731225,19834373,Lake Holcombe School District,Lake Holcombe School District,2671
5721600US550707830,550707830,55,7,,,7830,617103134,12666529,Laona School District,Laona School District,1469
5721600US550708250,550708250,55,7,,,8250,296217233,511047,Loyal School District,Loyal School District,3902
5721600US550708280,550708280,55,7,,,8280,268538271,12417139,Luck School District,Luck School District,3456
5721600US550708640,550708640,55,7,,,8640,1132208921,23965198,Maple School District,Maple School District,8213
5721600US550708670,550708670,55,7,,,8670,270168197,189427,Marathon City School District,Marathon City School District,4529
5721600US550708820,550708820,55,7,,,8820,483033758,965693,Marshfield School District,Marshfield School District,27630
5721600US550708940,550708940,55,7,,,8940,901922007,3863001,Medford Area School District,Medford Area School District,13366
5721600US550708970,550708970,55,7,,,8970,516297840,6654325,Mellen School District,Mellen School District,1811
5721600US550709090,550709090,55,7,,,9090,2526525,0,Menomonie Area School District,Menomonie Area School District (part),20
5721600US550709150,550709150,55,7,,,9150,436305993,42426489,Mercer School District,Mercer School District,1649
5721600US550709210,550709210,55,7,,,9210,1460954164,19263933,Merrill Area School District,Merrill Area School District,20141
5721600US550709720,550709720,55,7,,,9720,1021097288,63616094,Northwood School District,Northwood School District,3305
5721600US550709960,550709960,55,7,,,9960,550621614,50212687,Mosinee School District,Mosinee School District,13117
5721600US550710230,550710230,55,7,,,10230,553316758,59931699,Necedah Area School District,Necedah Area School District,4973
5721600US550710350,550710350,55,7,,,10350,717236401,7788972,Neillsville School District,Neillsville School District,6347
5721600US550710380,550710380,55,7,,,10380,92208609,16209755,Nekoosa School District,Nekoosa School District (part),325
5721600US550710440,550710440,55,7,,,10440,211768247,15192678,New Auburn School District,New Auburn School District,1948
5721600US550710560,550710560,55,7,,,10560,70415869,586565,New Lisbon School District,New Lisbon School District (part),470
5721600US550710620,550710620,55,7,,,10620,387350934,8104881,New Richmond School District,New Richmond School District,19776
5721600US550711160,550711160,55,7,,,11160,278454339,14170278,Osceola School District,Osceola School District,9646
5721600US550711220,550711220,55,7,,,11220,268250088,1592033,Osseo-Fairchild School District,Osseo-Fairchild School District (part),600
5721600US550711310,550711310,55,7,,,11310,405340403,3726850,Owen-Withee School District,Owen-Withee School District,4570
5721600US550711710,550711710,55,7,,,11710,241668488,38312625,Phelps School District,Phelps School District,1239
5721600US550711730,550711730,55,7,,,11730,1491492708,27695549,Phillips School District,Phillips School District,6047
5721600US550711790,550711790,55,7,,,11790,905991119,16033326,Pittsville School District,Pittsville School District (part),3652
5721600US550712030,550712030,55,7,,,12030,751509793,2843698,South Shore School District,South Shore School District,1966
5721600US550712180,550712180,55,7,,,12180,155401800,123327,Prairie Farm School District,Prairie Farm School District (part),1559
5721600US550712210,550712210,55,7,,,12210,1075686221,9150555,Prentice School District,Prentice School District,2909
5721600US550712720,550712720,55,7,,,12720,945432429,75449028,Rhinelander School District,Rhinelander School District,21109
5721600US550712780,550712780,55,7,,,12780,723727625,9190158,Rib Lake School District,Rib Lake School District,3239
5721600US550712810,550712810,55,7,,,12810,577717827,35887537,Rice Lake Area School District,Rice Lake Area School District,16431
5721600US550713050,550713050,55,7,,,13050,168583192,1619074,River Falls School District,River Falls School District (part),8392
5721600US550713140,550713140,55,7,,,13140,104117783,1598537,Rosholt School District,Rosholt School District (part),923
5721600US550713170,550713170,55,7,,,13170,403551195,3942296,D.C. Everest Area School District,D.C. Everest Area School District,35984
5721600US550713230,550713230,55,7,,,13230,372122199,14410210,St. Croix Falls School District,St. Croix Falls School District,7321
5721600US550713710,550713710,55,7,,,13710,381042324,23138173,Shell Lake School District,Shell Lake School District,3689
5721600US550713890,550713890,55,7,,,13890,261459499,23960738,Siren School District,Siren School District,3239
5721600US550713980,550713980,55,7,,,13980,402492336,8697329,Solon Springs School District,Solon Springs School District,2281
5721600US550714010,550714010,55,7,,,14010,149562904,3932750,Somerset School District,Somerset School District,8562
5721600US550714190,550714190,55,7,,,14190,209558266,713192,Spencer School District,Spencer School District,4407
5721600US550714220,550714220,55,7,,,14220,1271284280,81178290,Spooner Area School District,Spooner Area School District,10732
5721600US550714340,550714340,55,7,,,14340,96663222,1447445,Spring Valley School District,Spring Valley School District (part),1114
5721600US550714430,550714430,55,7,,,14430,328824660,4142174,Stanley-Boyd Area School District,Stanley-Boyd Area School District (part),6139
5721600US550714580,550714580,55,7,,,14580,294547413,5316256,Stratford School District,Stratford School District,5105
5721600US550714670,550714670,55,7,,,14670,1016123917,33509359,Superior School District,Superior School District,33546
5721600US550714820,550714820,55,7,,,14820,400263899,1616080,Thorp School District,Thorp School District,4671
5721600US550714850,550714850,55,7,,,14850,694159459,83858329,Three Lakes School District,Three Lakes School District,4593
5721600US550714910,550714910,55,7,,,14910,669765383,31006187,Tomah Area School District,Tomah Area School District (part),5122
5721600US550714940,550714940,55,7,,,14940,1021985428,80084779,Tomahawk School District,Tomahawk School District,10286
5721600US550714970,550714970,55,7,,,14970,1045459066,12586165,Flambeau School District,Flambeau School District,4241
5721600US550715060,550715060,55,7,,,15060,276792473,14285784,Turtle Lake School District,Turtle Lake School District,3326
5721600US550715390,550715390,55,7,,,15390,534123331,8416077,Wabeno Area School District,Wabeno Area School District (part),1543
5721600US550715540,550715540,55,7,,,15540,480961776,924423,Washburn School District,Washburn School District,3862
5721600US550715900,550715900,55,7,,,15900,660017974,9106909,Wausau School District,Wausau School District,55169
5721600US550716230,550716230,55,7,,,16230,1189292235,76341195,Webster School District,Webster School District,6135
5721600US550716590,550716590,55,7,,,16590,487366890,7998659,White Lake School District,White Lake School District,1532
5721600US550716650,550716650,55,7,,,16650,804570,0,Whitehall School District,Whitehall School District (part),7
5721600US550716860,550716860,55,7,,,16860,1673715507,27515574,Winter School District,Winter School District,3132
5721600US550717070,550717070,55,7,,,17070,42602875,12018,Wisconsin Rapids School District,Wisconsin Rapids School District (part),417
5721600US550717100,550717100,55,7,,,17100,372201404,5038033,Wittenberg-Birnamwood School District,Wittenberg-Birnamwood School District (part),3470
5721600US550799997,550799997,55,7,,,99997,142640295,5229652656,School District Not Defined,School District Not Defined (part),1
5721600US550799999,550799999,55,7,,,99999,1601304472,324127207,7,Remainder of Congressional District 7,19559
5721600US550800056,550800056,55,8,,,56,139757061,2612136,Gresham School District,Gresham School District,1705
5721600US550800150,550800150,55,8,,,150,175921321,807170,Algoma School District,Algoma School District,5138
5721600US550800360,550800360,55,8,,,360,105778529,342007,Antigo School District,Antigo School District (part),1171
5721600US550800390,550800390,55,8,,,390,113775567,1750298,Appleton Area School District,Appleton Area School District (part),100961
5721600US550800540,550800540,55,8,,,540,27153643,1284962,Ashwaubenon School District,Ashwaubenon School District,15360
5721600US550801470,550801470,55,8,,,1470,388775919,6074973,Bonduel School District,Bonduel School District,6305
5721600US550801560,550801560,55,8,,,1560,324197549,533967,Bowler School District,Bowler School District,2364
5721600US550801680,550801680,55,8,,,1680,119319791,795416,Brillion School District,Brillion School District (part),5214
5721600US550802520,550802520,55,8,,,2520,262208580,1973919,Chilton School District,Chilton School District (part),7205
5721600US550802670,550802670,55,8,,,2670,415034479,4931730,Clintonville School District,Clintonville School District,9629
5721600US550802760,550802760,55,8,,,2760,484914317,9240678,Coleman School District,Coleman School District,4914
5721600US550802970,550802970,55,8,,,2970,709695045,30632271,Crivitz School District,Crivitz School District,6552
5721600US550803210,550803210,55,8,,,3210,165059435,2760433,De Pere Unified School District,De Pere Unified School District,24571
5721600US550803660,550803660,55,8,,,3660,273477147,2919968,Denmark School District,Denmark School District (part),7142
5721600US550804920,550804920,55,8,,,4920,194775394,1558,Freedom Area School District,Freedom Area School District,9843
5721600US550805220,550805220,55,8,,,5220,351562708,835156625,Gibraltar Area School District,Gibraltar Area School District,6810
5721600US550805250,550805250,55,8,,,5250,270067372,3795771,Gillett School District,Gillett School District,3945
5721600US550805580,550805580,55,8,,,5580,274083207,4795042,Goodman-Armstrong School District,Goodman-Armstrong School District (part),607
